0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;0 a 2 a a a 2 0;a a 2 0 0 a 2 a;0 2 a a a 2 a 0;a 2 a 0 0 2 a a;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;Z
0.34938476;0.34938476; -0.34938467; -0.34938467; -0.34938477; -0.34938477;0.34938485;0.34938485;500
0.34938476;0.34938476; -0.34938468; -0.34938468; -0.34938477; -0.34938477;0.34938485;0.34938485;505
0.34938476;0.34938476; -0.34938468; -0.34938468; -0.34938477; -0.34938477;0.34938485;0.34938485;510
0.34938476;0.34938476; -0.34938468; -0.34938468; -0.34938478; -0.34938478;0.34938485;0.34938485;515
0.34938476;0.34938476; -0.34938468; -0.34938468; -0.34938478; -0.34938478;0.34938485;0.34938485;520
0.34938475;0.34938475; -0.34938468; -0.34938468; -0.34938478; -0.34938478;0.34938484;0.34938484;525
0.34938475;0.34938475; -0.34938468; -0.34938468; -0.34938478; -0.34938478;0.34938484;0.34938484;530
0.34938475;0.34938475; -0.34938469; -0.34938469; -0.34938478; -0.34938478;0.34938484;0.34938484;535
0.34938475;0.34938475; -0.34938469; -0.34938469; -0.34938478; -0.34938478;0.34938484;0.34938484;540
0.34938475;0.34938475; -0.34938469; -0.34938469; -0.34938479; -0.34938479;0.34938484;0.34938484;545
0.34938475;0.34938475; -0.34938469; -0.34938469; -0.34938479; -0.34938479;0.34938484;0.34938484;550
0.34938475;0.34938475; -0.34938469; -0.34938469; -0.34938479; -0.34938479;0.34938484;0.34938484;555
0.34938475;0.34938475; -0.34938469; -0.34938469; -0.34938479; -0.34938479;0.34938483;0.34938483;560
0.34938474;0.34938474; -0.34938469; -0.34938469; -0.34938479; -0.34938479;0.34938483;0.34938483;565
0.34938474;0.34938474; -0.34938469; -0.34938469; -0.34938479; -0.34938479;0.34938483;0.34938483;570
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938479; -0.34938479;0.34938483;0.34938483;575
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938479; -0.34938479;0.34938483;0.34938483;580
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938479; -0.34938479;0.34938483;0.34938483;585
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938479; -0.34938479;0.34938483;0.34938483;590
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938483;0.34938483;595
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938483;0.34938483;600
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938483;0.34938483;605
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938483;0.34938483;610
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938483;0.34938483;615
0.34938474;0.34938474; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938482;0.34938482;620
0.34938473;0.34938473; -0.34938470; -0.34938470; -0.34938480; -0.34938480;0.34938482;0.34938482;625
